,Indicator,Country,Date,value,Year,Month
0,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-10,3285.0,2015,3
1,Cumulative number of confirmed Ebola cases,Guinea,2015-03-10,2871.0,2015,3
2,Cumulative number of probable Ebola cases,Guinea,2015-03-10,392.0,2015,3
3,Cumulative number of suspected Ebola cases,Guinea,2015-03-10,22.0,2015,3
4,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-10,2170.0,2015,3
5,Cumulative number of confirmed Ebola deaths,Guinea,2015-03-10,1778.0,2015,3
6,Cumulative number of probable Ebola deaths,Guinea,2015-03-10,392.0,2015,3
7,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-10,9343.0,2015,3
8,Cumulative number of confirmed Ebola cases,Liberia,2015-03-10,3150.0,2015,3
9,Cumulative number of probable Ebola cases,Liberia,2015-03-10,1879.0,2015,3
10,Cumulative number of suspected Ebola cases,Liberia,2015-03-10,4314.0,2015,3
11,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-10,4162.0,2015,3
12,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-03-10,11619.0,2015,3
13,Cumulative number of confirmed Ebola cases,Sierra Leone,2015-03-10,8428.0,2015,3
14,Cumulative number of probable Ebola cases,Sierra Leone,2015-03-10,287.0,2015,3
15,Cumulative number of suspected Ebola cases,Sierra Leone,2015-03-10,2904.0,2015,3
16,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-03-10,3629.0,2015,3
17,Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-03-10,3263.0,2015,3
18,Cumulative number of probable Ebola deaths,Sierra Leone,2015-03-10,208.0,2015,3
19,Cumulative number of suspected Ebola deaths,Sierra Leone,2015-03-10,158.0,2015,3
20,Cumulative number of confirmed Ebola cases,United Kingdom,2015-03-10,1.0,2015,3
21,Cumulative number of probable Ebola cases,United Kingdom,2015-03-10,0.0,2015,3
22,Cumulative number of suspected Ebola cases,United Kingdom,2015-03-10,0.0,2015,3
23,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-03-10,0.0,2015,3
24,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-03-10,1.0,2015,3
25,Cumulative number of confirmed Ebola cases,Mali,2015-03-10,7.0,2015,3
26,Cumulative number of probable Ebola cases,Mali,2015-03-10,1.0,2015,3
27,Cumulative number of suspected Ebola cases,Mali,2015-03-10,0.0,2015,3
28,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-10,6.0,2015,3
29,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-10,8.0,2015,3
30,Cumulative number of confirmed Ebola cases,Nigeria,2015-03-10,19.0,2015,3
31,Cumulative number of probable Ebola cases,Nigeria,2015-03-10,1.0,2015,3
32,Cumulative number of suspected Ebola cases,Nigeria,2015-03-10,0.0,2015,3
33,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-10,20.0,2015,3
34,Cumulative number of confirmed Ebola cases,Senegal,2015-03-10,1.0,2015,3
35,Cumulative number of probable Ebola cases,Senegal,2015-03-10,0.0,2015,3
36,Cumulative number of suspected Ebola cases,Senegal,2015-03-10,0.0,2015,3
37,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-10,1.0,2015,3
38,Cumulative number of confirmed Ebola cases,Spain,2015-03-10,1.0,2015,3
39,Cumulative number of probable Ebola cases,Spain,2015-03-10,0.0,2015,3
40,Cumulative number of suspected Ebola cases,Spain,2015-03-10,0.0,2015,3
41,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-10,1.0,2015,3
42,Cumulative number of confirmed Ebola cases,United States of America,2015-03-10,4.0,2015,3
43,Cumulative number of probable Ebola cases,United States of America,2015-03-10,0.0,2015,3
44,Cumulative number of suspected Ebola cases,United States of America,2015-03-10,0.0,2015,3
45,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-03-10,4.0,2015,3
46,Cumulative number of confirmed Ebola deaths,Nigeria,2015-03-10,7.0,2015,3
47,Cumulative number of probable Ebola deaths,Nigeria,2015-03-10,1.0,2015,3
48,Cumulative number of suspected Ebola deaths,Nigeria,2015-03-10,0.0,2015,3
49,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-10,8.0,2015,3
50,Cumulative number of confirmed Ebola deaths,Senegal,2015-03-10,0.0,2015,3
51,Cumulative number of probable Ebola deaths,Senegal,2015-03-10,0.0,2015,3
52,Cumulative number of suspected Ebola deaths,Senegal,2015-03-10,0.0,2015,3
53,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-10,0.0,2015,3
54,Cumulative number of confirmed Ebola deaths,Spain,2015-03-10,0.0,2015,3
55,Cumulative number of probable Ebola deaths,Spain,2015-03-10,0.0,2015,3
56,Cumulative number of suspected Ebola deaths,Spain,2015-03-10,0.0,2015,3
57,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-10,0.0,2015,3
58,Cumulative number of confirmed Ebola deaths,United States of America,2015-03-10,1.0,2015,3
59,Cumulative number of probable Ebola deaths,United States of America,2015-03-10,0.0,2015,3
60,Cumulative number of suspected Ebola deaths,United States of America,2015-03-10,0.0,2015,3
61,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-03-10,1.0,2015,3
62,Cumulative number of confirmed Ebola cases,United Kingdom,2015-03-06,1.0,2015,3
63,Cumulative number of probable Ebola cases,United Kingdom,2015-03-06,0.0,2015,3
64,Cumulative number of suspected Ebola cases,United Kingdom,2015-03-06,0.0,2015,3
65,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-03-06,0.0,2015,3
66,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-06,3248.0,2015,3
67,Cumulative number of confirmed Ebola cases,Guinea,2015-03-06,2840.0,2015,3
68,Cumulative number of probable Ebola cases,Guinea,2015-03-06,392.0,2015,3
69,Cumulative number of suspected Ebola cases,Guinea,2015-03-06,16.0,2015,3
70,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-06,2147.0,2015,3
71,Cumulative number of confirmed Ebola deaths,Guinea,2015-03-06,1755.0,2015,3
72,Cumulative number of probable Ebola deaths,Guinea,2015-03-06,392.0,2015,3
73,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-06,9249.0,2015,3
74,Cumulative number of confirmed Ebola cases,Liberia,2015-03-06,3150.0,2015,3
75,Cumulative number of probable Ebola cases,Liberia,2015-03-06,1877.0,2015,3
76,Cumulative number of suspected Ebola cases,Liberia,2015-03-06,4222.0,2015,3
77,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-06,4117.0,2015,3
78,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-03-06,11517.0,2015,3
79,Cumulative number of confirmed Ebola cases,Sierra Leone,2015-03-06,8389.0,2015,3
80,Cumulative number of probable Ebola cases,Sierra Leone,2015-03-06,287.0,2015,3
81,Cumulative number of suspected Ebola cases,Sierra Leone,2015-03-06,2841.0,2015,3
82,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-03-06,3576.0,2015,3
83,Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-03-06,3210.0,2015,3
84,Cumulative number of probable Ebola deaths,Sierra Leone,2015-03-06,208.0,2015,3
85,Cumulative number of suspected Ebola deaths,Sierra Leone,2015-03-06,158.0,2015,3
86,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-03-06,1.0,2015,3
87,Cumulative number of confirmed Ebola cases,Mali,2015-03-06,7.0,2015,3
88,Cumulative number of probable Ebola cases,Mali,2015-03-06,1.0,2015,3
89,Cumulative number of suspected Ebola cases,Mali,2015-03-06,0.0,2015,3
90,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-06,6.0,2015,3
91,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-06,8.0,2015,3
92,Cumulative number of confirmed Ebola cases,Nigeria,2015-03-06,19.0,2015,3
93,Cumulative number of probable Ebola cases,Nigeria,2015-03-06,1.0,2015,3
94,Cumulative number of suspected Ebola cases,Nigeria,2015-03-06,0.0,2015,3
95,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-06,20.0,2015,3
96,Cumulative number of confirmed Ebola cases,Senegal,2015-03-06,1.0,2015,3
97,Cumulative number of probable Ebola cases,Senegal,2015-03-06,0.0,2015,3
98,Cumulative number of suspected Ebola cases,Senegal,2015-03-06,0.0,2015,3
99,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-06,1.0,2015,3
100,Cumulative number of confirmed Ebola cases,Spain,2015-03-06,1.0,2015,3
101,Cumulative number of probable Ebola cases,Spain,2015-03-06,0.0,2015,3
102,Cumulative number of suspected Ebola cases,Spain,2015-03-06,0.0,2015,3
103,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-06,1.0,2015,3
104,Cumulative number of confirmed Ebola cases,United States of America,2015-03-06,4.0,2015,3
105,Cumulative number of probable Ebola cases,United States of America,2015-03-06,0.0,2015,3
106,Cumulative number of suspected Ebola cases,United States of America,2015-03-06,0.0,2015,3
107,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-03-06,4.0,2015,3
108,Cumulative number of confirmed Ebola deaths,Nigeria,2015-03-06,7.0,2015,3
109,Cumulative number of probable Ebola deaths,Nigeria,2015-03-06,1.0,2015,3
110,Cumulative number of suspected Ebola deaths,Nigeria,2015-03-06,0.0,2015,3
111,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-06,8.0,2015,3
112,Cumulative number of confirmed Ebola deaths,Senegal,2015-03-06,0.0,2015,3
113,Cumulative number of probable Ebola deaths,Senegal,2015-03-06,0.0,2015,3
114,Cumulative number of suspected Ebola deaths,Senegal,2015-03-06,0.0,2015,3
115,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-06,0.0,2015,3
116,Cumulative number of confirmed Ebola deaths,Spain,2015-03-06,0.0,2015,3
117,Cumulative number of probable Ebola deaths,Spain,2015-03-06,0.0,2015,3
118,Cumulative number of suspected Ebola deaths,Spain,2015-03-06,0.0,2015,3
119,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-06,0.0,2015,3
120,Cumulative number of confirmed Ebola deaths,United States of America,2015-03-06,1.0,2015,3
121,Cumulative number of probable Ebola deaths,United States of America,2015-03-06,0.0,2015,3
122,Cumulative number of suspected Ebola deaths,United States of America,2015-03-06,0.0,2015,3
123,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-03-06,1.0,2015,3
124,Cumulative number of confirmed Ebola cases,United Kingdom,2015-03-05,1.0,2015,3
125,Cumulative number of probable Ebola cases,United Kingdom,2015-03-05,0.0,2015,3
126,Cumulative number of suspected Ebola cases,United Kingdom,2015-03-05,0.0,2015,3
127,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-03-05,0.0,2015,3
128,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-05,3237.0,2015,3
129,Cumulative number of confirmed Ebola cases,Guinea,2015-03-05,2833.0,2015,3
130,Cumulative number of probable Ebola cases,Guinea,2015-03-05,392.0,2015,3
131,Cumulative number of suspected Ebola cases,Guinea,2015-03-05,12.0,2015,3
132,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-05,2141.0,2015,3
133,Cumulative number of confirmed Ebola deaths,Guinea,2015-03-05,1749.0,2015,3
134,Cumulative number of probable Ebola deaths,Guinea,2015-03-05,392.0,2015,3
135,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-05,9249.0,2015,3
136,Cumulative number of confirmed Ebola cases,Liberia,2015-03-05,3150.0,2015,3
137,Cumulative number of probable Ebola cases,Liberia,2015-03-05,1877.0,2015,3
138,Cumulative number of suspected Ebola cases,Liberia,2015-03-05,4222.0,2015,3
139,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-05,4117.0,2015,3
140,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-03-05,11497.0,2015,3
141,Cumulative number of confirmed Ebola cases,Sierra Leone,2015-03-05,8383.0,2015,3
142,Cumulative number of probable Ebola cases,Sierra Leone,2015-03-05,287.0,2015,3
143,Cumulative number of suspected Ebola cases,Sierra Leone,2015-03-05,2827.0,2015,3
144,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-03-05,3565.0,2015,3
145,Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-03-05,3199.0,2015,3
146,Cumulative number of probable Ebola deaths,Sierra Leone,2015-03-05,208.0,2015,3
