Country ISO-3 Code,Year period,Median year,Region,Other group/Zone,Age,Sex,Urban/Rural,Sample size,Severe wasting,Wasting,Overweight,Stunting,Underweight,Notes
AGO,2015-2016,2016,,,0.  - 4.99,Both sexes,Both,7467.9482,1.09352,4.92099,3.37364,37.57297,19.0377,
AGO,2015-2016,2016,,,0.  - 0.49,Both sexes,Both,867.78229,1.30539,4.69209,10.50676,19.05109,12.40325,
AGO,2015-2016,2016,,,0.50 - 0.99,Both sexes,Both,782.11072,2.72632,9.24702,3.36397,23.69931,21.58706,
AGO,2015-2016,2016,,,1.  - 1.99,Both sexes,Both,1523.4861,1.28788,6.46673,2.25787,45.06543,21.04149,
AGO,2015-2016,2016,,,2.  - 2.99,Both sexes,Both,1440.7986,0.79916,5.10434,3.30807,48.57555,20.67523,
AGO,2015-2016,2016,,,3.  - 3.99,Both sexes,Both,1500.2695,0.35505,2.19365,2.67776,41.99266,19.67826,
AGO,2015-2016,2016,,,4.  - 4.99,Both sexes,Both,1353.5011,0.72523,3.69897,1.04818,32.31021,17.1096,
AGO,2015-2016,2016,,,0.  - 4.99,Male,Both,3731.2556,1.31957,5.56931,3.14795,41.01009,21.01039,
AGO,2015-2016,2016,,,0.  - 0.49,Male,Both,403.04279,1.92835,4.6013,11.86563,20.47171,12.38633,
AGO,2015-2016,2016,,,0.50 - 0.99,Male,Both,404.5842,3.33989,9.63808,3.43323,26.69041,22.8119,
AGO,2015-2016,2016,,,1.  - 1.99,Male,Both,753.8634,1.13337,8.46161,1.53567,51.82995,25.72711,
AGO,2015-2016,2016,,,2.  - 2.99,Male,Both,734.42065,1.13468,5.71373,1.62918,50.87614,20.79972,
AGO,2015-2016,2016,,,3.  - 3.99,Male,Both,740.74805,0.0395,2.23198,2.95604,46.78306,23.11878,
AGO,2015-2016,2016,,,4.  - 4.99,Male,Both,694.5965,1.07209,3.83382,1.4291,32.80214,17.82032,
AGO,2015-2016,2016,,,0.  - 4.99,Female,Both,3736.6926,0.86878,4.27647,3.59802,34.14373,17.06789,
AGO,2015-2016,2016,,,0.  - 0.49,Female,Both,464.7395,0.76409,4.77098,9.326,17.80135,12.41791,
AGO,2015-2016,2016,,,0.50 - 0.99,Female,Both,377.52655,2.07819,8.83393,3.29081,20.53215,20.27443,
